"Marcaj de timp","Scrie aici conversația. Fii creativ !"
"2019/06/10 11:03:02 a.m. GMT+3","salut
salut
ce faci ?
mă joc pe calculator. tu?
și eu. vrei să jucăm un meci de LoL?
clar!
ok, te sun eu acum pe skype!"
"2019/06/10 12:42:20 p.m. GMT+3","salut
ce faci?
bine,merg in parc,tu?
eu cu bicicleta
fac sport 



"
"2019/06/10 12:45:32 p.m. GMT+3","salut
buna
cum esti?
sanatos,tu?
si eu
mergem la un picnic?
dupa-masa daca e vreme buna
ok,ne auzim la 17
"
"2019/06/10 1:19:11 p.m. GMT+3","Mergem mâine la concert?
Desigur. La ce ora?
La ora 21.00. Mergi cu masina?
Aș merge cu metroul. Unde va fi concertul?
În parcul IOR. Dacă te hotărăști să mergi, mă anunți?
Te anunț în timp util. La revedere!"
"2019/06/10 1:54:23 p.m. GMT+3","Buna ziua
Salut
Ce faci?
Sunt in pauza
Vrei sa-mi spui ce program ai azi?
Da desigur
Ascult atunci
Azi de dimineața după ce ma spăl si mănânc merg la școala
Dar ce faci la școala?
Sunt elev deci sunt obligat sa merg la cursuri pana cel puțin pe clasa a X-a
La ce ora termini cu școala?
Termin in fiecare zi la ora 14:00
După aceea ce faci?
Ma duc acasă unde urmează sa servesc masa de prânz deoarece mi-e foame
Ce faci mai apoi?
Ma odihnesc iar mai apoi in funcție de ce zi este am activități diverse in fiecare după-masa
Ce urmează după aceea?
Seara după ce îmi fac temele și servesc cina ma uit la TV sau joc un joc
După aceea ce urmează sa faci?
Poate citesc ceva sau învăț pentru școala
Și apoi?
Urmează somnul de cel puțin 8 ore iar apoi totul se reia
Ai un program foarte încărcat
Da
Mulțumesc mult"
"2019/06/10 5:42:47 p.m. GMT+3","Buna,ce faci?"
"2019/06/10 5:49:12 p.m. GMT+3","Salut! Ce faci?
Salut!
Te-am întrebat ce faci?Ești bine?
Nu mai vreau sa învăț la chineză! Este o limba imposibilă pentru mine,renunț! 
Cum sa renunți? Înveți de un an și ai ajuns sa cunoști semnele limbii care nu sunt puține și acum te împiedici atât de repede? 
nu se mai poate. Învăț în fiecare zi, scriu și exersez zilnic,dar profesorul este nemulțumit de felul cum vorbesc.
Dar cum înveți tu în fiecare zi? Ce metode ai?
La început studiam din cărți pana am deprins însemnele grafice ale limbii.
Da, și acum? 
Apoi am căutat diverse cursuri on-line, care m-au ajutat să aud aceasta limba.
Eu cred că tu ai avut foarte multă răbdare și ai fost un autodidact foarte bun.
Degeaba, am ajuns sa cred ca îmi pierd vremea cu chineza. În timpul acesta puteam foarte bine sa ies și eu cu prietenii, sa mă distrez sau sa dorm.
și mai departe cum studiezi? Cum ai ajuns la profesorul de care aminteai mai devreme? 
tot internetul m-a ajutat. Deși este roman a studiat limba și literatura chineză, iar în ultimii 10 ani a fost profesor la universitatea din Beijing,este considerat un foarte bun orator atât în limba romana cat și în limba chineza
și cum ar trebui sa te exprimi ca sa-i placă cum vorbești tu ?
elegant, cu căldură, fără ura,fără mânie.
vrei sa-ți spun un mic sfat?
Nu mă trimite în  China!!!
pffff!Ai răbdare! 
Am și nu am!
Vino cu mine în oraș! 
Acum?parcă mi-e tare greu și capul.
hai vino! Luam un taxi sa meargă mai repede!
ce vrei sa faci?"
"2019/06/10 6:10:13 p.m. GMT+3","Aștepți plugușorul? 
Nu așteptam plugușorul!
Dar pe cine?
Pe dumneata
Ei,bravo! 
Tată, moşule!
Ce-i fetița moşului?
Știi ceva?
Dacă-mi spui,am să ştiu.
Burduş
Ce e cu Burduf? 
Burduş nu va avea noroc anul acesta
Ce spui?
Nu a fost cuminte
Dar de ce?
A făcut rău de tot.
Ce rău a făcut? 
Rău,rău de tot
Şi ce, anume?
A făcut pe grozavul.
Cum adică? 
A fost pe la noi mătușa Tinca. 
Așa, și? 
Şi Burduş a scos limba la ea!
A scos limba la ea?
Tata l-a certat.
Bine i-a făcut! 
Şi mama l-a ocărât. 
Bine i-a făcut! 
Şi pe urmă? 
Burduş s-a grozăvit. 
Cum s-a grozăvit? 
Știi ce a zis? 
Cam ce putea să zică?
A zis că se face împărat.
Împărat? 
Da,împărat ca Alexandru Machedon!
Alexandru cel Mare
Și o să dea poruncă 
Ce poruncă? 
O să poruncească să nu mai fie nici un tată  și nici o mămica 
Dar ce să fie?
Să fie numai copii. 
Nemaipomenit! 
A spus așa ceva? 


"
"2019/06/10 6:27:22 p.m. GMT+3","Salut ! 
Salut !
Mergi azi cu mine la cofetărie?
De ce? Sărbătorim ceva?
Da. Am primit note mari la examene. 
Bravo! Felicitări!
Mersi ! Deci, vii?
Desigur ! Mă îmbrac repede și ne întâlnim in fața Teatrului Național. De acolo mergem pe jos la cofetăria Boema. E aproape.
Ok. Ce prăjitură preferi?
Mie imi place Mille feuille.
Oaa! Sună interesant!
Da. Și e tare gustoasă!
Cred că am să comand și eu una!
Desigur. Nu o să regreți!
Ok. Ne vedem în 15 minute! Pa!
Pa!
"
"2019/06/10 7:39:53 p.m. GMT+3","Am visat că am escaladat munții Himalaya .
Și cum a fost? 
Aglomerat și destul de greu! 
Visul meu a început cu vizionarea unui film documentar despre acești munți.
Și ai participat la vreo loterie? 
Nu,am fost cel mai atent spectator. 
Și te-au selectat? 
Da.Am fost norocos. 
Povestește cum ai călătorit. 
Cu avionul pana în Nepal,iar de acolo cu mașină de teren.
Erai echipat adecvat? 
Da și nu.Mi -au lipsit niște mănuşi mai groase. 
Cum a fost vremea?
Până am urcat a fost un soare strălucitor. 
Iar acolo sus?
A început să ningă  foarte frumos .
Și mai departe? 
Păi, să vezi eram sus.Totul a fost minunat chiar dacă era frig. 
Ce s-a întâmplat? 
M-am  trezit .
Off! Tocmai când era mai interesant! 
"
"2019/06/10 10:16:02 p.m. GMT+3","Off! 
Iar oftezi? 
Da,pe zi ce trece mi se pare tot mai greu.
Ce-i greu? 
Tot,absolut tot; și să mănânc devine greu, plictisitor și monoton. 
Nu te mai tot plânge! 
E ușor de vorbit, dar e greu și să nu mă mai lamentez. 
Bine, hai descarcă-te!
De dimineață de când m-am trezit m-au asaltat gândurile cu ce am de făcut azi.
Și ce ai de făcut? 
Nu-ti mai spun de mărunțișuri programare la service cu mașina,de platit facturile, de făcut curățenie etc
Adică? 
Trebuie să ajung la birou, dar nu am azi mașină. 
Extraordinar, te-ai obișnuit prea răsfățat doar cu mașină! 
Și ce vrei sa mă duc pe jos? 
De ce nu? Face parte din ritmul vieții, plus că face bine la sănătate. 
Îmi distrug pantofii plus ca e pierdere de timp. 
Nu cred asta.
De ce?
Faptul ca te vei plimba o ora jumătate te va ajuta sa-ți pui ordine în minte cu tot ce ai de făcut. 
Dar singur să merg atât de mult mi se pare un abuz.
Abuz de lene ,de lipsă de inițiative dar mai ales de voință. 
Doamne mi-e teamă! "
"2019/06/10 10:43:11 p.m. GMT+3","Mi-e frig!
Cum se poate la temperatura asta să-ți fie frig? 
Nu știu. 
Ești vreun pește?
Da, un delfin. 
Delfinilor nu cred ca le este frig vreodată. 
Atunci un pinguin. 
Lor nici atât 
Și totuși mi-e frig. 
Îmbracă-te !
Ai uitat că aerul condiționat funcționează? 
Atunci, închide-l!
Nu cred că știu! 
Aparatul acesta este performant, știe să facă și zăpadă!
Nu vreau să mă dau cu sania și nici cu patinele! 
Ești sedentar! 
Știu, accept doar schiurile .
Da și pe astea doar în cutie.
Cred  că ar trebui să fii mai drăguț cu oamenii din jurul tău! 
Ai dreptate! "
"2019/06/10 10:44:52 p.m. GMT+3","Bună ziua! 
Bună ziua! Cu ce vă pot fi de folos? 
Aș dori să închiriez o mașină pentru o săptămână. 
Ce mașină preferați? 
Ce aveți? 
Noi avem de toate, ce preferați dumneavoastră? 
Ce preț ar avea un Minicooper? 
700 euro,iar dumneavoastră trebuie să faceți alimentarea cu benzină. 
Hmm! 
Puteți să încercați, dacă doriți. 
Da, aș vrea să văd și un Lamborghini.
Decapotabil sau nu?
Decapotabil. 
Wow,este extraordinar! 
Vă place? 
Prea mult! 
Acest Lamborghini îl veți închiria?
Da,cât costă? 
20 euro.Am nevoie de datele dumneavoastră personale! 
Da,poftiți! 
Va trebui să achitați și asigurarea 5 euro.
Voi plăti cu cardul. 
Bine
Mulțumesc, la revedere. 
Cu plăcere, la revedere! Să o folosiți sănătos! 
Mulțumesc! "
"2019/06/11 1:14:03 p.m. GMT+3","Salut! Ce faci?
"
"2019/06/11 1:20:58 p.m. GMT+3","Ți-ai făcut temele? "
"2019/06/11 1:21:56 p.m. GMT+3","Hey!
Bună!
Ți-ai învățat pentru testul de mâine?
Ce test?
Acel de la istorie
Nu am învățat
De ce?
Pentru că nu știam că dăm test!
Dar..nu ai fost la oră?
Păi..ba da am fost..
Atunci?
Nu am fost atent
Dar ce făceai?
Stăteam pe telefon..
Testul va fi din Europa antica
Îmi trimiți te rog lecția?
Desigur
Mulțumesc!
Cu drag!
"
"2019/06/11 1:25:53 p.m. GMT+3","Bună!
Salut!
Care este culoarea ta preferată?
Mov.
Îți place la școală?
Nu prea.
Îți place ciocolată?
Da,foarte mult.

"
"2019/06/11 1:28:39 p.m. GMT+3","Salut! Ce faci?
Bine. Tu cum te simţi?
Extraordinar.  Este o zi plăcută afară.
Ce culori te reprezintă ca fire?
Toate culorile sunt şi reprezintă o emblemă a linişti sau din contră a chefului de viaţă.
Apropo, am visitat într-o excursie Cetatea Neamţului, puternică precum Soarele, faimoasă cu stele de război, trăită cu o poveste, visată cu suflarea.
Este o experienţă de visat
"
"2019/06/11 1:28:55 p.m. GMT+3","Salut!
Bună!
Vrei sa mergem la film?
Sigur!Ce film?
Hmm..nu stiu ce film dorești?
Mie îmi este indiferent!
Mergem la Pokemon?
Daaa este un film super
L-ai vazut?
Nu,dar am vazut serialul
Ahh..okey
Deci mergem?
Da haide!"
"2019/06/11 1:29:14 p.m. GMT+3","Salut! Ce faci?
Bine. Tu cum te simţi?
Extraordinar.  Este o zi plăcută afară.
Ce culori te reprezintă ca fire?
Toate culorile sunt şi reprezintă o emblemă a linişti sau din contră a chefului de viaţă.
Apropo, am visitat într-o excursie Cetatea Neamţului, puternică precum Soarele, faimoasă cu stele de război, trăită cu o poveste, visată cu suflarea.
Este o experienţă de visat
"
"2019/06/11 1:29:30 p.m. GMT+3","Salut! Ce faci?
Bine. Tu cum te simţi?
Extraordinar.  Este o zi plăcută afară.
Ce culori te reprezintă ca fire?
Toate culorile sunt şi reprezintă o emblemă a linişti sau din contră a chefului de viaţă.
Apropo, am visitat într-o excursie Cetatea Neamţului, puternică precum Soarele, faimoasă cu stele de război, trăită cu o poveste, visată cu suflarea.
Este o experienţă de visat
"
"2019/06/11 1:31:19 p.m. GMT+3","Îți place fotbalul?
Da.
Care e fotbalistul tău preferat?
Ronaldo.
Tu joci fotbal?
Da.
Care e materia ta preferată?
Matematica.
Cât face 5×5?
25.
Ai prieteni?
Da."
"2019/06/11 1:32:41 p.m. GMT+3","Salut 
Salut 
Ce faci?
Bine tu
Uite am ieșit și eu pe afară cu prietenii. Tu ce faci?
Eu merg până la bibliotecă 
Ce faci acolo ?
Am să împrumut o carte 
Super
Tu ce planuri ai în vacanța asta ?
O să merg la mare cu familia 
Tu ce o sa faci în vacanță?
Eu merg doar pe afara cu prieteni 
Tu aștepți să înceapă școala? 
Ahhhh, nu prea pentru că o să intru în clasa a 7. Tu în ce clasă o sa mergi ?
In clasa a 5 b.
OK trebuie să plec că mă cam grăbesc 
OK o să ne mai revedem
Salut!
Salut!"
"2019/06/11 1:32:50 p.m. GMT+3","Salut
Salut
Ce faci?
Învăț la geografie 
Tu ce faci?
Ma joc cu mingea de fotbal
Super
Vrei sa ieșim mai târziu la un suc?
De sigur,dar mai întâi să îmi termin de învățat 
Ok
"
"2019/06/11 1:33:10 p.m. GMT+3","Bună.
Salut.
Ce faci ?
Bine tu ?
Mă gândeam  să mergem la fotbal ,vrei ?
Desigur !
Unde ne întîlnim?
În fața blocului.
 Îi chem pe Victor si Vlad ?
Da. 
Ai văzut ce gol a dat Messi ?
Am văzut a fost super tare. 
 Ce echipă preferi dintre Real Madrid și Juventus  ?
Prefer Juventus .
De ce ?
Pentru că acolo joacă Ronaldo .



"
"2019/06/11 1:33:59 p.m. GMT+3","Buna ziua!
Buna!
Doresc sa închiriez o bicicleta
Urmăriți-mă să va arat câteva !
Okey
Acestea sunt cele mai noi
Aceea albastra îmi place mult
Pe aceea chiar ieri am adus-o
O doresc!
Pentru cât timp?
7 zile
Bun va trebui sa achitați 700 lei
Pot plăti cu cardul?
Bineînțeles!
"
"2019/06/11 1:34:06 p.m. GMT+3","Bună.
Salut.
Ce faci ?
Bine tu ?
Mă gândeam  să mergem la fotbal ,vrei ?
Desigur !
Unde ne întîlnim?
În fața blocului.
 Îi chem pe Victor si Vlad ?
Da. 
Ai văzut ce gol a dat Messi ?
Am văzut a fost super tare. 
 Ce echipă preferi dintre Real Madrid și Juventus  ?
Prefer Juventus .
De ce ?
Pentru că acolo joacă Ronaldo .



"
"2019/06/11 1:34:26 p.m. GMT+3","Salut
Salut
Ce faci?
Învăț la geografie 
Tu ce faci?
Ma joc cu mingea de fotbal
Super
Vrei sa ieșim mai târziu la un suc?
De sigur,dar mai întâi să îmi termin de învățat 
Ok
"
"2019/06/11 1:35:13 p.m. GMT+3","Care  e melodia ta preferată?
Nu am o melodie preferată.
La română te descurci?
Nu prea.
Mănânci des ciocolată?
Da.
Ai fost în excursii?
Da,în multe.
Ce te pasionează?
Istoria.
Serios?
Da.
Și altceva?
Geografia."
"2019/06/11 1:36:22 p.m. GMT+3","Buna Adriana ce faci? 
Bună Laura ! Uite pe afară tu ce faci? Si eu tot pe afară. Mă gândeam dacă ai vrea ca pe la ora 4 să mergem în mol.  
Sigur! Acum fiind ora 2 ce zici să mergem prin oraș ? Ca doară mai este timp. 
Sigur, de ce nu 
Intrăm puțin până în acest magazin că vreau să îmi cumpăr o bluză. 
Am văzut una frumoasă în acest magazin 
Da, ca și eu vreau să îmi cumpăr ceva 
Ei, îți place bluza
Da
Deci,sa o cumpăr? Nu este deloc scumpa
Da,poți este foarte frumoasă 
Bine
După vi sa luam înghețată ?
DA  
Eu îmi iau cu ciocolată. tu?
Eu îmi iau de vanilie 
Bine uite că este oră 3:44. După trebuie sa ne grăbim dacă vrei sa fim gata la ora 4 
Da, atunci să ne întoarcem acasă să ne grăbim"
"2019/06/11 1:38:35 p.m. GMT+3","Care e sărbătoarea ta preferată?
Crăciunul.
Îți place zăpada?
Da.
Faci mulți oameni de zăpadă?
Daaa.
Te bați cu bulgări de zăpadă?
Da.
Iarna e frig?
Foarte frig."
"2019/06/11 1:38:52 p.m. GMT+3","Care e sărbătoarea ta preferată?
Crăciunul.
Îți place zăpada?
Da.
Faci mulți oameni de zăpadă?
Daaa.
Te bați cu bulgări de zăpadă?
Da.
Iarna e frig?
Foarte frig."
"2019/06/11 1:39:04 p.m. GMT+3","Salut!
Salut!
Ce faci?
Bine tu?
Chiar foarte bine!
Mă bucur pentru tine!Dar ce te bine dispune asa?
Pai am fost la concert-ul lui Alan Walker 
Da?Ce dragut!
Am avut bilet VIP și am făcut poze cu el!
Wow!Ti-ai întâlnit cântărețul preferat!
Da!Sunt super fericita😁
Mă bucur pentru tine!
Vrei sa mergem impreuna la următorul concert?💕
Normal!♥️"
"2019/06/11 1:41:50 p.m. GMT+3","Ai un prieten cel mai bun?
Da.
Vă înțelegi bine?
Da,foarte bine.
Aveți încredere unul in altul?
Normal.
Ce e mai important?Să ai prieteni mulți și falși sau prieteni puțini si adevărați?
Desigur,e important să ai prieteni puțini dar adevărați deoarece ei nu te lasă la greu.
"
"2019/06/11 1:42:42 p.m. GMT+3","Salut .
Salut .
Ai vrea să mergem la un film ?
Desigur . Ce film?
Vrei la Chucky 2019 ?
E de groază?
Da.
Atunci nu .
De ce ? 
Pentru că nu imi plac filmele de groază .

Dar acest film nu e  prea de groază .
Atunci vin.
Ok.
"
"2019/06/11 1:42:50 p.m. GMT+3","Hey!
Salut!
Ce planuri ai pe vacanța de vara?
Merg in Anglia,tu?
Pacat!Voiam sa mergem vara asta la piscina
Vrei sa vii cu mine și cu familia mea in Anglia?
Pot sa merg?
Dacă te lasa părinții tai,da poți!
Ești sigura?
Da!Esti cea mai buna prietena a mea sigur ca poți,îmi ești ca o sora
Okey am sa vorbesc cu părinții mei și vedem cum facem!
Bun!O sa avem o vara de neuitat!"
"2019/06/11 1:44:14 p.m. GMT+3","Care e țara ta preferată?
Slovacia.
Ști bine slovacă?
Așa și așa.
Ce limbi vorbești?
Engleză,franceză,slovacă,rusă și italiană.
Interesant.Care e preferata ta?
Slovacă logic.

"
"2019/06/11 1:44:54 p.m. GMT+3","Buna 
Buna 
Ce ai facut azi la examen ?
Nu prea am știu unele exerciti
Tu ai știut ceva?
Nu am știut absolut nimic cred ca a mea este cea mai slabă lucrare din toata clasa
Acum nici chiar așa 
Sa nu uiti  ca deseară este meciul de fotbal
Care meci?
Meciul dintre Juventus si Real Madrid
Ok,am sa tin  minte

"
"2019/06/11 1:46:37 p.m. GMT+3","Salut! 
Buna!
Ce faci?
Bine, tu?
Bine, acum am venit de la școală.
Ce o sa faci în vacanță?
Merg la țară, la bunici. Tu? 
O sa petrec mult timp cu prietenii și o sa merg la Mare. Ai vrea sa vi și tu la Mare cu mine? 
Nu, fiindcă mă voi juca cu rațele și le voi prinde de cioc!
Ce limbă ști să mai vorbești?
Eu știu 3 limbi să vorbesc : Engleză, Franceză, Germană. 
Chiar mi-ar plăcea să știu și eu atâtea limbi străine! 
Care este culoarea ta preferată? 
Culoarea mea preferata este, verde. 
Ai călătorit vreodată cu avionul? 
Nu, dar mi-ar plăcea! 

"
"2019/06/11 5:38:09 p.m. GMT+3","Salut!
Hey!
Ce mai faci? 
Bine, tocmai mi-am terminat temele și acum mă duc în parc. Tu?
Eu fac teme. 
Poți veni și tu în parc după ce îți termini temele? 
Da pot, deja am vorbit cu mama si mă lasă. 
Ce bine, așa ne putem juca împreună! Dar în cât timp îți termini temele?
În 15 minute le termin.   
Bine, ne vedem în parc! Pa!
Pa!"
"2019/06/11 5:51:10 p.m. GMT+3","Salut! 
Salut! 
Ce mai faci?
Bine, tu? 
Bine!
Cum a fost ziua ta azi?
Foarte bună, am luat 10 la geografie, iar la biologie mi-a ieșit media 10. 
Foarte bine, mă bucur pentru tine!
Dar a ta cum a fost? 
A mea nu a fost la fel de bună, am luat 4 la algebră si 3 la istorie deoarece nu mi-am făcut referatul si nici nu mi-am învățat lecția de zi. 
Îmi pare foarte rău pentru tine! 
Uimește-mă!
Care este părerea ta despre rasism?
Nu este o întrebare foarte depărtată ca și filozofie de părerea despre homofobie, dar tema este diferită și îți voi răspunde acum. Deci diferența dintre o persoană de culoare si o persoană albă nu există. Cum spuneai tu, inocența unei persoane de culoare și una albă este aceeași. 
Se pare că suntem destul de buni la dezbateri! 
Eu trebuie să plec, vom mai vorbi și mâine!
Bine, ne vedem!"
"2019/06/11 9:01:03 p.m. GMT+3","Salut !
Bună !
Ce faci ? 
Bine , tu?
Bine . Ai auzit vestea ?
Ce veste ?
Vine circul în oraș ! 
Circul ?! 
Da .
La ce oră începe ?
La ora 20 ,dar poți merge și vineri la ora 18 .
Tu mergi ?
Da , putem merge împreună .
Dar ... e doar ora 18 și jumătate , ce facem până la ora 20 ? 
Hai să mergem la înghețată ! 
Eu vreau una de vanilie .
O să îmi iau una de fistic. 
Hai să mergem până nu se face ora 10 .
Ok .
Ai făcut cunoștință cu colega nouă ?
Da , de ce ? 
Cu mine se poartă foarte ciudat . 
Ciudat în ce fel ?
Când vorbește cu mine se bâlbâie . Nu știu de ce .
Eu cred că ... te place .
Da ... de unde . Schimbă subiectul .
Bine , bine . 
Cere-i la domn înghețata .
O înghețată cu fistic și una cu vanilie , amândouă la cornet .
Poftim înghețatele . Patru lei te rog !
Poftiți .
La revedere !
Salut !
Ok , acum hai la circ , până nu începe circul .
Hai !"
"2019/06/11 9:01:30 p.m. GMT+3","Salut ! 
Salut !
Ce faci , cum o mai duci ?
Bine aștept să se termine școala .
Mai este o săptămână .
Da , dar trece foarte greu ultima săptămână .
Ce medii ai ? Sunt bune sau ... nu prea .
Sunt ok , la matematică am 8, la română 9 și la istorie 10 . Dar tu ?
La română am 7 iar la matematică 9 .
E bine .
Dar tu ce faci ? 
Mă gândesc la ce o să fac în vacanță .
Și...
Cred că o să merg în Grecia  .
Frumos , dar de ce vrei să mergi în Grecia ? 
Deoarece îmi place cultura și istoria care și-au creat-o .
Eu vreau să merg în Italia deoarece acolo a fost inventată pizza și vreau să gust o pizza autentică .
Ok . Tu te gândești doar la mâncare ?
Nu , sau... nu categoric nu .
Să spunem că te cred.
Ce ai avut ultima oră ? 
Engleză .Tu ? 
 Chineză .
Adică ?
Franceză .
Ok. Ție chiar nu îți place franceza .
Nu . Nu îmi place .
Trebuie să plec .
Pa !
Pa , pa !"
"2019/06/11 9:01:43 p.m. GMT+3","Bună ! 
Salut !
 Ce faci ? 
Bine tu ?
Ai auzi de proiectul acela despre reciclare ?
Nu , ce proiect ?
E un proiect în care ajutăm natura, reciclând .
Da ! Unde mă pot înscrie ?
Jos la clubul de ecologizare .
Poți veni cu mine ? 
Da , hai mai repede. 
Când e prima activitate ?
Sâmbăta aceasta în parc .
Bine.
Am ajuns . 
Intră .
Salut ! Aici trebuie să mă înscriu la ECO .
Da . Poftim , completează formularul apoi vi la mine pentru a te înscrie .
Ok . Pa ! 
Salut !
Bun , scrie numele , data și tot .
Ok , nu mă grăbi !
Hai înapoi .
Salut, am revenit ! Aici e formularul .
Ok ...așteaptă ... și ... gata . Ești în proiect.  Mâine e prima activitate. Sâmbătă la 8:00 în parc în echipament sportiv .
Bine , mulțumesc !
La  revedere !
La revedere !
Eu trebuie să plec . Am programare la dentist .
Pa!
Salut !"
"2019/06/11 9:01:55 p.m. GMT+3","Salut !
Salutare ! 
Ce faci ?
Bine ,tu ?
Ascult muzică .
Pop .
Mă refer la artiști .
Aaaa... Smiley , Delia , Conect-r .
De când asculți muzică ?
De ceva timp...
Mie îmi place să creez muzică .
Serios ?!
Pune un cântec .
Bine .
Te pricepi . Frumoasă melodie .
E doar un hobby .
Nu pe bune vorbesc .
Sunt începător.
Cânți la un instrument ? 
Nu , tu ?
 La chitară .
Ce fel de chitară ?
Clasică .
Eu urmez lecții de compozitor .
Cum te descurci ?
Destul de bine . Sunt aproape cel mai bun de acolo .
Bravo ! Cam  câtă muzică asculți pe zi ?
Cam două ore pe zi .
Wow, cam mult timp .
Eu mă duc spre casă pentru că trebuie să fiu acasă la ora 3 .
Salut !
Pa !"
"2019/06/11 9:02:04 p.m. GMT+3","Bună !
Bună !
Ce mai faci ?
Bine , dar tu ce mai faci ?
Bine . 
Tu te-ai înscris la concursul de pescuit ?
Da , dar tu ?
Bineînțeles.
Vrei să fi cu mine în echipă ?
Da , dacă vrei .
Cum de descurci la pescuit ?
Am prins pești de două kilograme . 
Ok e bine , e bine .
Concursul e vinerea viitoare , n-i așa ?
Da e vinerea viitoare .
Vrei să ne întâlnim mâine despre ce să folosim și de-astea ?
Da , dar acum trebuie să fug .
Bine .
Pa !
Salut !"
